0,cero
1,uno
2,dos
3,tres
4,cuatro
5,cinco
6,seis
7,siete
8,ocho
9,nueve
10,diez
11,once
12,doce
13,trece
14,catorce
15,quince
16,dieciséis
17,diecisiete
18,dieciocho
19,diecinueve
20,veinte
21,veintiuno
22,veintidós
23,veintitrés
24,veinticuatro
25,veinticinco
26,veintiséis
27,veintisiete
28,veintiocho
29,veintinueve
30,treinta
40,cuarenta
50,cincuenta
60,sesenta
70,setenta
80,ochenta
90,noventa
100,cien
200,doscientos
300,trescientos
400,cuatrocientos
500,quinientos
600,seiscientos
700,setecientos
800,ochocientos
900,novecientos
1000,mil
1000000,millón
academic major,la especialización
accident,el accidente
accounting,la contabilidad
And you? (fam.),¿Y tú?
And you? (form.),¿Y usted?
animal,el animal
announcements,los anuncios
apple,la manzana
archaeology,la arqueología
art,el arte
backpack,la mochila
banana,el plátano
because,porque
behind,detrás de
below,debajo de
between,entre
biology,la biología
black,negro
blackboard; whiteboard,la pizarra
blinds,las persianas
book,el libro
bookstore,la librería
boy,el chico
boy (less formal),el muchacho
bread,el pan
breads,los panes
broad,ancho
brother,el hermano
bus,el autobús
buses,los autobuses
business administration,la administración de empresas
Bye.,Chau.
cafeteria,la cafetería
ceiling,el techo
chair,la silla
chalk,la tiza
chemistry,la química
city,la ciudad
class,la clase
classmate,el compañero de clase
climate,el clima
clock,el reloj
color,el color
comfortable,cómodo
community,la comunidad
computer,la computadora
computer science,la computación
conversation,la conversación
conversations,las conversaciones
countries,los países
country,el país
course,el curso
cousin,el primo
crowd,la muchedumbre
Cuban,el cubano
day,el día
days,los días
Delighted; Pleased to meet you.,Encantado.
desk (for students),el pupitre
desk (for teachers and office workers),el escritorio
diary,el diario
dictionary,el diccionario
dirty,sucio
door,la puerta
doorman,el portero
dormitory,la residencia estudiantil
driver,el conductor
economics,la economía
eraser,el borrador
exercise,el ejercicio
expensive,caro
family,la familia
famous,famoso
far from,lejos de
father,el padre
flag,la bandera
floor,el piso
foreign languages,las lenguas extranjeras
fork,el tenedor
Friday,viernes
friend,el amigo
fun,divertido
geography,la geografía
girl,la chica
girls,las chicas
good,bueno
Good afternoon.,Buenas tardes.
Good evening; Good night.,Buenas noches.
Good morning.,Buenos días.
Goodbye.,Adiós.
Greetings to...,Saludos a...
hand,la mano
heaven,el cielo
Hi.,Hola.
high,alto
history,la historia
homework,la tarea
house,la casa
How are you? (fam.),¿Cómo estás?
How are you? (form.),¿Cómo está usted?
How are you?; How’s it going?,¿Qué tal?
How much/many?,¿Cuánto?
humanities,las humanidades
husband,el esposo
I would like to introduce you to... (fam.),Te presento a...
I would like to introduce you to... (form.),Le presento a...
I’m from...,Soy de...
I’m sorry.,Lo siento.
idiom,el idioma
in front of,delante de
in; on,en
It’s five after four.,Son las cuatro y cinco.
It’s four twenty-five.,Son las cuatro y veinticinco.
It’s half past twelve.,Son las doce y media.
It’s one o’clock.,Es la una.
It’s quarter after one.,Es la una y cuarto.
It’s quarter to one.,Es la una menos cuarto.
It’s six o’clock.,Son las seis.
It’s ten before three.,Son las tres menos diez.
It’s thirty after seven.,Son las siete y treinta.
It’s twenty after eleven.,Son las once y veinte.
It’s twenty before eight.,Son las ocho menos veinte.
It’s two o’clock exactly.,Son las dos en punto.
journalism,el periodismo
knife,el cuchillo
laboratory,el laboratorio
large,largo
lectern,el atril
lesson,la lección
lessons,las lecciones
liberty,la libertad
library,la biblioteca
light,la luz
lights,las luces
Likewise.,Igualmente.
literature,la literatura
man,el hombre
map,el mapa
marker,el marcador
mathematics,las matemáticas
Mexican (n.),el mexicano
Miss (+ last name),señorita
Monday,lunes
mother,la madre
Mr. (+ first name),don
Mr. (+ last name),señor
Mrs. (+ first name),doña
Mrs. (+ last name),señora
music,la música
My name is...,Me llamo...
name,el nombre
nationality,la nacionalidad
near,cerca de
new,nuevo
next to,al lado de
noise,el ruido
North American (n.),el norteamericano
Not very well.,No muy bien.
