to hug,abrazar,abrazando,abrazo,abrazas,abraza,abrazamos,abrazan,abracé,abrazaste,abrazó,abrazamos,abrazaron
to open,abrir,abriendo,abro,abres,abre,abrimos,abren,abrí,abriste,abrió,abrimos,abrieron
to camp,acampar,acampando,acampo,acampas,acampa,acampamos,acampan,acampé,acampaste,acampó,acampamos,acamparon
to speed up; to accelerate,acelerar,acelerando,acelero,aceleras,acelera,aceleramos,aceleran,aceleré,aceleraste,aceleró,aceleramos,aceleraron
to have lunch,almorzar,almorzando,almuerzo,almuerzas,almuerza,almorzamos,almuerzan,almorcé,almorzaste,almorzó,almorzamos,almorzaron
to walk; to work properly; to function,andar,andando,ando,andas,anda,andamos,andan,anduve,anduviste,anduvo,anduvimos,anduvieron
to announce,anunciar,anunciando,anuncio,anuncias,anuncia,anunciamos,anuncian,anuncié,anunciaste,anunció,anunciamos,anunciaron
to learn,aprender,aprendiendo,aprendo,aprendes,aprende,aprendemos,aprenden,aprendí,aprendiste,aprendió,aprendimos,aprendieron
to attend,asistir,asistiendo,asisto,asites,asiste,asistimos,asisten,asistí,asististe,asistió,asistimos,asistieron
to dance,bailar,bailando,bailo,bailas,baila,bailamos,bailan,bailé,bailaste,bailó,bailamos,bailaron
to go down,bajar,bajando,bajo,bajas,baja,bajamos,bajan,bajé,bajaste,bajó,bajamos,bajaron
to drink,beber,bebiendo,bebo,bebes,bebe,bebemos,beben,bebí,bebiste,bebió,bebimos,bebieron
to kiss,besar,besando,beso,besas,besa,besamos,besan,besé,besaste,besó,besamos,besaron
to scuba dive,bucear,buceando,buceo,buceas,bucea,buceamos,bucean,buceé,buceaste,buceó,buceamos,bucearon
to look for,buscar,buscando,busco,buscas,busca,buscamos,buscan,busqué,buscaste,buscó,buscamos,buscaron
to fall,caer,cayendo,caigo,caes,cae,caemos,caen,caí,caíste,cayó,caímos,cayeron
to change,cambiar,cambiando,cambio,cambias,cambia,cambiamos,cambian,cambié,cambiaste,cambió,cambiamos,cambiaron
to walk,caminar,caminando,camino,caminas,camina,caminamos,caminan,caminé,caminaste,caminó,caminamos,caminaron
to sing,cantar,cantando,canto,cantas,canta,cantamos,cantan,canté,cantaste,cantó,cantamos,cantaron
to celebrate; to say Mass,celebrar,celebrando,celebro,celebras,celebra,celebramos,celebran,celebré,celebraste,celebró,celebramos,celebraron
to have dinner,cenar,cenando,ceno,cenas,cena,cenamos,cenan,cené,cenaste,cenó,cenamos,cenaron
to close,cerrar,cerrando,cierro,cierras,cierra,cerramos,cierran,cerré,cerraste,cerró,cerramos,cerraron
to eat,comer,comiendo,como,comes,come,comemos,comen,comí,comiste,comió,comimos,comieron
to begin (form.),comenzar,comenzando,comienzo,comienzas,comienza,comenzamos,comienzan,comencé,comenzaste,comenzó,comenzamos,comenzaron
to buy,comprar,comprando,compro,compras,compra,compramos,compran,compré,compraste,compró,compramos,compraron
to understand (deeper),comprender,comprendiendo,comprendo,comprendes,comprende,comprendemos,comprenden,comprendí,comprendiste,comprendió,comprendimos,comprendieron
to lead; to drive,conducir,conduciendo,conduzco,conduces,conduce,conducimos,conducen,conduje,condujiste,condujo,condujimos,condujeron
to confirm,confirmar,confirmando,confirmo,confirmas,confirma,confirmamos,confirman,confirmé,confirmaste,confirmó,confirmamos,confirmaron
to know (conocer),conocer,conociendo,conozco,conoces,conoce,conocemos,conocen,conocí,conociste,conoció,conocimos,conocieron
to get; to obtain,conseguir,consiguiendo,consigo,consigues,consigue,conseguimos,consiguen,conseguí,conseguiste,consigió,conseguimos,consiguieron
to count; to tell,contar,contando,cuento,cuentas,cuenta,contamos,cuentan,conté,contaste,contó,contamos,contaron
to answer,contestar,contestando,contesto,contestas,contesta,contestamos,contestan,contesté,contestaste,contestó,contestamos,contestaron
to converse; to chat,conversar,conversando,converso,conversas,conversa,conversamos,conversan,conversé,conversaste,conversó,conversamos,conversaron
to run,correr,corriendo,corro,corres,corre,corremos,corren,corrí,corriste,corrió,corrimos,corrieron
to cut,cortar,cortando,corto,cortas,corta,cortamos,cortan,corté,cortaste,cortó,cortamos,cortaron
to cost,costar,costando,cuesto,cuestas,cuesta,costamos,cuestan,costé,costaste,costó,costamos,costaron
to believe (in),creer,creyendo,creo,crees,cree,creemos,creen,creí,creíste,creyó,creímos,creyeron
to give,dar,dando,doy,das,da,damos,dan,di,diste,dio,dimos,dieron
to decide,decidir,decidiendo,decido,decides,decide,decidimos,deciden,decidí,decidiste,decidió,decidimos,decidieron
to say; to tell,decir,diciendo,digo,dices,dice,decimos,dicen,dije,dijiste,dijo,dijimos,dijeron
to have breakfast,desayunar,desayunando,desayuno,desayunas,desayuna,desayunamos,desayunan,desayuné,desayunaste,desayunó,desayunamos,desayunaron
to rest,descansar,descansando,descanso,descansas,descansa,descansamos,descansan,descansé,descansaste,descansó,descansamos,descansaron
to describe,describir,describiendo,describo,describes,describe,describimos,decriben,describí,describiste,describió,describimos,describieron
to want; to wish,desear,deseando,deseo,deseas,desea,deseamos,desean,deseé,deseaste,deseó,deseamos,desearon
to draw,dibujar,dibujando,dibujo,dibujas,dibuja,dibujamos,dibujan,dibujé,dibujaste,dibujó,dibujamos,dibujaron
to sleep,dormir,durmiendo,duermo,duermes,duerme,dormimos,duermen,dormí,dormiste,durmió,dormimos,durmieron
to choose; to elect,elegir,eligiendo,elijo,eliges,elige,elegimos,elegen,elegi,elegiste,elegío,elegimos,eligieron
to begin (fam.),empezar,empezando,empiezo,empiezas,empieza,empezamos,empiezan,empecé,empezaste,empezó,empezamos,empezaron
to love,encantar,encantando,encanto,encantas,encanta,encantamos,encantan,encanté,encantaste,encantó,encantamos,encantaron
