0,cero,1
1,uno,1
2,dos,1
3,tres,1
4,cuatro,1
5,cinco,1
6,seis,1
7,siete,1
8,ocho,1
9,nueve,1
10,diez,1
11,once,1
12,doce,1
13,trece,1
14,catorce,1
15,quince,1
16,dieciséis,1
17,diecisiete,1
18,dieciocho,1
19,diecinueve,1
20,veinte,1
21,veintiuno,1
22,veintidós,1
23,veintitrés,1
24,veinticuatro,1
25,veinticinco,1
26,veintiséis,1
27,veintisiete,1
28,veintiocho,1
29,veintinueve,1
30,treinta,1
40,cuarenta,2
50,cincuenta,2
60,sesenta,2
70,setenta,2
80,ochenta,2
90,noventa,2
100,cien,2
200,doscientos,2
300,trescientos,2
400,cuatrocientos,2
500,quinientos,2
600,seiscientos,2
700,setecientos,2
800,ochocientos,2
900,novecientos,2
1000,mil,2
1000000,millón,2
(North) American,norteamericano,3
(to the) northeast of,al noreste de,2
(to the) southwest of,al suroeste de,2
(to the) west of,al oeste de,2
a lot of,un montón de,4
above; about,sobre,2
academic major,la especialización,2
accident,el accidente,0
accounting,la contabilidad,2
across from,enfrente de,2
airport,el aeropuerto,5
already,ya,6
American (U.S.),estadouniense,3
And you? (fam.),¿Y tú?,1
And you? (form.),¿Y usted?,1
angry,enojado,5
animal,el animal,0
announcements,los anuncios,2
apple,la manzana,0
April,abril,5
archaeology,la arqueología,2
Argentine,argentino,3
arrival,la llegada,5
art,el arte,2
artist,el artista,2
at the corner of,en la esquina de,2
August,agosto,5
autumn,el otoño,5
backpack,la mochila,2
bad,malo,3
ball,la pelota,4
banana,el plátano,0
bank,el banco,2
bar,el bar,2
baseball,el béisbol,4
basketball,el baloncesto,4
bathing suit,el traje de baño,6
beach,la playa,5
beautiful,hermoso,6
beauty salon,el salón de belleza,2
because,porque,2
bed,la cama,5
behind,detrás de,2
bellhop,el botones,5
below,debajo de,2
belt,el cinturón,6
between; among,entre,2
bicycle,la bicicleta,0
big,grande,3
biology,la biología,2
black,negro,3
blackboard; whiteboard,la pizarra,2
blinds,las persianas,2
blond,rubio,3
blouse,la blusa,6
blue,azul,6
Bolivian,boliviano,3
book,el libro,2
bookstore,la librería,2
boot,la bota,6
bored; boring,aburrido,5
boy,el muchacho,1
boyfriend,el novio,3
Brazilian,brasileño,3
bread,el pan,0
breads,los panes,0
broad,ancho,3
brother,el hermano,3
brother-in-law,el cuñado,3
brown,marrón,6
brunet(te),moreno,3
bucket,el balde,5
bus,el autobús,1
bus station,la estación de autobús,0
buses,los autobuses,0
business administration,la administración de empresas,2
busy,ocupado,5
by; next to,junto a,2
Bye.,Chau.,1
café,el café,4
cafeteria,la cafetería,2
calculator,la calculadora,2
Canadian,canadiense,3
cash,en efectivo,6
cash register,la caja,6
ceiling,el techo,2
chair,la silla,2
chalk,la tiza,2
cheap,barato,6
cheerful,alegre,5
chemistry,la química,2
child,el chico,1
Chilean,chileno,3
Chinese,chino,3
church,la iglesia,4
cinema,el cine,4
city,la ciudad,0
city or town square,la plaza,4
class,la clase,2
classmate,el compañero de clase,2
clean,limpio,5
clerk,el dependiente,6
climate,el clima,0
clock,el reloj,2
close to; near; by,cerca de,2
closed,cerrado,5
clothes,la ropa,6
coat,el abrigo,6
cold front,el frente frío,5
Colombian,colombiano,3
color,el color,0
comfortable,cómodo,5
community,la comunidad,1
computer,la computadora,1
computer programmer,el programador,3
computer science,la computación,2
confused,confundido,5
content (adj.),contento,5
conversation,la conversación,1
Costa Rican,costarricense,3
countries,los países,0
country,el país,1
countryside,el campo,5
course,el curso,2
cousin,el primo,3
crazy,loco,6
credit card,la tarjeta de crédito,6
crowd,la muchedumbre,0
Cuban,cubano,3
customer,el cliente,6
customs inspector,el inspector de aduanas,5
cycling,el ciclismo,4
daughter-in-law,la nuera,3
day,el día,2
days,los días,2
debit card,la tarjeta de débito,6
December,diciembre,5
Delighted; Pleased to meet you.,Encantado.,1
department store,el almacén,6
departure; exit,la salida,5
desk (for students),el pupitre,2
desk (for teachers and office workers),el escritorio,2
diary,el diario,1
dictionary,el diccionario,1
difficult,difícil,3
dirty,sucio,5
disorderly,desordenado,5
doctor,el doctor,3
Dominican,dominicano,3
door,la puerta,2
doorman,el portero,1
dormitory,la residencia estudiantil,2
double room,la habitación doble,5
down,abajo,2
downstairs,abajo de,2
downtown,el centro,4
dress,el vestido,6
driver,el conductor,1
Dutch,holandés,3
each,cada,6
easy,fácil,3
economics,la economía,2
Ecuadorian,ecuatoriano,3
eighth,octavo,5
elegant,elegante,6
elevator,el ascensor,5
embarrased,avergonzado,5
employee,el empleado,5
engineer,el ingeniero,3
English (f.),inglesa,3
English (m.),inglés,3
enthusiast; fan,el aficionado,4
eraser,el borrador,2
excellent,excelente,5
exercise,el ejercicio,0
expensive,caro,3
fabulous,fabuloso,5
family,la familia,3
famous,famoso,5
far from,lejos de,2
fat,gordo,3
father,el padre,3
father-in-law,el suegro,3
favorite,favorito,4
February,febrero,5
few; a little,poco,0
fifth,quinto,5
Filipino,filipino,3
first,primer,5
flag,la bandera,2
floor (of a building),el piso,5
flower,la flor,0
foolish,tonto,3
football,el fútbol americano,4
foreign languages,las lenguas extranjeras,2
fork,el tenedor,0
fourth,cuarto,5
French (f.),francesa,3
French (m.),francés,3
Friday,viernes,2
friend,el amigo,3
from; since,desde,6
front,el frente,5
fun,divertido,0
fun activity; entertainment; recreation,la diversión,4
game; match,el partido,4
gas station,la gasolinera,2
geography,la geografía,2
German (f.),alemana,3
German (m.),alemán,3
gift,el regalo,6
gloves,los guantes,6
golf,el golf,4
good,bueno,3
Good afternoon.,Buenas tardes.,1
Good evening; Good night.,Buenas noches.,1
Good morning.,Buenos días.,1
Goodbye.,Adiós.,1
grandfather,el abuelo,3
grandson,el nieto,3
gray,gris,6
great-grandfather,el bisabuelo,3
Greek,griego,3
green,verde,0
Greetings to...,Saludos a...,1
ground floor,la planta baja,5
Guatemalan,guatemalteco,3
guest,el huésped,5
guitar,la guitarra,0
gymnasium,el gimnasio,4
half-brother,el medio hermano,3
hand,la mano,0
handsome (m.),guapo,3
happy,feliz,5
hard-working,trabajador,3
hat,el sombrero,6
heaven,el cielo,0
here,aquí,0
Hi.,Hola.,1
high,alto,3
history,la historia,2
hockey,el hockey,4
hole,el hueco,0
homework,la tarea,2
Honduran,hondureño,3
hospital,el hospital,2
hotel,el hotel,5
house,la casa,0
How are you? (fam.),¿Cómo estás?,1
How are you? (form.),¿Cómo está usted?,1
How are you?; How’s it going?,¿Qué tal?,1
How can I help you?,¿En qué puedo servirles?,5
How much/many?,¿Cuánto?,1
How’s the weather?,¿Qué tiempo hace?,5
humanities,las humanidades,2
husband,el esposo,3
I would like to introduce you to... (fam.),Te presento a...,1
I would like to introduce you to... (form.),Le presento a...,1
I’m from...,Soy de...,1
I’m sorry.,Lo siento.,1
idiom,el idioma,0
important,importante,3
in a bad mood,de mal humor,5
in a good mood,de buen humor,5
in front of,delante de,2
in love,enamorado,5
in love with,enamorado de,5
in the middle of,en medio de,2
In whose name?,¿A nombre de quién?,5
in; on,en,2
incredible,increíble,5
Indian,indio,3
inside,adentro de,2
interesting,interesante,3
Irish,irlandés,3
Israeli,israelí,3
It’s cool.,Hace fresco.,5
It’s four twenty.,Son las cuatro y veinte.,1
It’s half past twelve.,Son las doce y media.,1
It’s March 2nd.,Es el dos de marzo.,5
It’s quarter to one.,Es la una menos cuarto.,1
